boundary_date,offset_days,maturity_date,cashflow_count,dirty_price,central_slope_per_year,second_difference
2028-05-15,-7,2028-05-08,5,100.88430539283222,,
2028-05-15,-6,2028-05-09,5,100.88504106293354,0.27026747072032009,9.5774451409624817E-06
2028-05-15,-5,2028-05-10,5,100.88578631048,0.27419288576929546,1.1931678415066926E-05
2028-05-15,-4,2028-05-11,5,100.88654348970488,0.27215401478457579,-2.3103574221750023E-05
2028-05-15,-3,2028-05-12,5,100.88727756535553,0.53370139461151211,0.0014562399020405792
2028-05-15,-2,2028-05-13,5,100.88946788090823,0.40311269295326468,-0.0021717944316748117
2028-05-15,-1,2028-05-14,5,100.88948640202925,0.0065225368850008181,-1.3023139047163568E-06
2028-05-15,0,2028-05-15,5,100.88950362083636,0.26577107460450833,0.0014218422466143465
2028-05-15,1,2028-05-16,6,100.8909426818901,0.39566291492175054,-0.00071010613528699196
2028-05-15,2,2028-05-17,6,100.89167163680854,0.26637239872975726,1.6649506733301678E-06
2028-05-15,3,2028-05-18,6,100.89240225667766,0.30923263354779351,0.0002331856510693342
2028-05-15,4,2028-05-19,6,100.89336606219784,0.61260228306977638,0.0014291137983661883
2028-05-15,5,2028-05-20,6,100.89575898151639,0.48065266045458799,-0.0021521254291343439
2028-05-15,6,2028-05-21,6,100.89599977540581,0.089657673843035468,9.6871463313163986E-06
2028-05-15,7,2028-05-22,6,100.89625025644156,,
2028-11-15,-7,2028-11-08,6,100.97115235097297,,
2028-11-15,-6,2028-11-09,6,100.97163353907722,0.17739269505806732,9.6385589500869173E-06
2028-11-15,-5,2028-11-10,6,100.97212436574041,0.35090305917147901,0.00094110316221929224
2028-11-15,-4,2028-11-11,6,100.97355629556583,0.26409900967752975,-0.0014167417895833978
2028-11-15,-3,2028-11-12,6,100.97357148360166,0.0090540807881467344,1.9235329915545663E-05
2028-11-15,-2,2028-11-13,6,100.97360590696741,0.09466698744461155,0.00044987648738015196
2028-11-15,-1,2028-11-14,6,100.97409020682053,0.17603610612987097,-4.0183028033879964E-06
2028-11-15,0,2028-11-15,6,100.97457048837086,0.30421555301010983,0.00070637143639373789
2028-11-15,1,2028-11-16,7,100.97575714135758,0.30354553929608841,-0.00071004274441577309
2028-11-15,2,2028-11-17,7,100.97623375159988,0.34150740924008716,0.00091805299068425938
2028-11-15,3,2028-11-18,7,100.97762841483286,0.30077078787776657,-0.0011412673543134133
2028-11-15,4,2028-11-19,7,100.97788181071154,0.094136843829915051,9.0265650101173378E-06
2028-11-15,5,2028-11-20,7,100.97814423315522,0.17567722180533707,0.00043777002663603071
2028-11-15,6,2028-11-21,7,100.97884442562554,0.25684420540212471,6.9805684148604996E-06
